Age,Selectivity,gear,type,AIC
0,1.28648348041723e-08,Demtrawl,sigfit,-14.3319723774341
1,2.2369266229507e-07,Demtrawl,sigfit,-14.3319723774341
10,0.0910953971035283,Demtrawl,sigfit,-14.3319723774341
11,0.0910956377506654,Demtrawl,sigfit,-14.3319723774341
12,0.0910956515905792,Demtrawl,sigfit,-14.3319723774341
13,0.0910956523865276,Demtrawl,sigfit,-14.3319723774341
14,0.0910956524323034,Demtrawl,sigfit,-14.3319723774341
15,0.0910956524349361,Demtrawl,sigfit,-14.3319723774341
16,0.0910956524350875,Demtrawl,sigfit,-14.3319723774341
2,3.88940162600355e-06,Demtrawl,sigfit,-14.3319723774341
3,6.75814573456426e-05,Demtrawl,sigfit,-14.3319723774341
4,0.0011609883446176,Demtrawl,sigfit,-14.3319723774341
5,0.0166993831802791,Demtrawl,sigfit,-14.3319723774341
6,0.0725160526937892,Demtrawl,sigfit,-14.3319723774341
7,0.0897728389075151,Demtrawl,sigfit,-14.3319723774341
8,0.0910185203787299,Demtrawl,sigfit,-14.3319723774341
9,0.0910912129449727,Demtrawl,sigfit,-14.3319723774341
0,0.00898010080769717,Gill,dblSigfit,-9.62123955609286
1,0.0109821337427213,Gill,dblSigfit,-9.62123955609286
10,0.0619706529301013,Gill,dblSigfit,-9.62123955609286
11,0.0738426817327584,Gill,dblSigfit,-9.62123955609286
12,0.0874863808625088,Gill,dblSigfit,-9.62123955609286
13,0.102974856706145,Gill,dblSigfit,-9.62123955609286
14,0.120314446653969,Gill,dblSigfit,-9.62123955609286
15,0.139426419236876,Gill,dblSigfit,-9.62123955609286
16,0.160133711792023,Gill,dblSigfit,-9.62123955609286
2,0.0134171584180056,Gill,dblSigfit,-9.62123955609286
3,0.0163723070766943,Gill,dblSigfit,-9.62123955609286
4,0.0199491111217475,Gill,dblSigfit,-9.62123955609286
5,0.0242643729560389,Gill,dblSigfit,-9.62123955609286
6,0.0294502961784003,Gill,dblSigfit,-9.62123955609286
7,0.0356534298247655,Gill,dblSigfit,-9.62123955609286
8,0.0430318688398139,Gill,dblSigfit,-9.62123955609286
9,0.0517500711197342,Gill,dblSigfit,-9.62123955609286
0,1.144902153089e-09,HookLine,sigfit,-12.5679137200043
1,4.64509456867388e-09,HookLine,sigfit,-12.5679137200043
10,0.00137895984806253,HookLine,sigfit,-12.5679137200043
11,0.00553717434030309,HookLine,sigfit,-12.5679137200043
12,0.0215655645650767,HookLine,sigfit,-12.5679137200043
