Age,Selectivity,gear,type,AIC
13,0.0752645097166213,HookLine,sigfit,-12.5679137200043
14,0.194850465146933,HookLine,sigfit,-12.5679137200043
15,0.320277036360394,HookLine,sigfit,-12.5679137200043
16,0.38067400351979,HookLine,sigfit,-12.5679137200043
2,1.88460672596273e-08,HookLine,sigfit,-12.5679137200043
3,7.64622136094446e-08,HookLine,sigfit,-12.5679137200043
4,3.10222153573402e-07,HookLine,sigfit,-12.5679137200043
5,1.2586297270173e-06,HookLine,sigfit,-12.5679137200043
6,5.10646145000103e-06,HookLine,sigfit,-12.5679137200043
7,2.07171274563199e-05,HookLine,sigfit,-12.5679137200043
8,8.40403658583335e-05,HookLine,sigfit,-12.5679137200043
9,0.000340752597896695,HookLine,sigfit,-12.5679137200043
0,0.000157794690024285,Other,dblSigfit,-8.3053005699765
1,0.000488690819898139,Other,dblSigfit,-8.3053005699765
10,0.0709807059677165,Other,dblSigfit,-8.3053005699765
11,0.0709802806431802,Other,dblSigfit,-8.3053005699765
12,0.0709802805901888,Other,dblSigfit,-8.3053005699765
13,0.0709802805901822,Other,dblSigfit,-8.3053005699765
14,0.0709802805901822,Other,dblSigfit,-8.3053005699765
15,0.0709802805901822,Other,dblSigfit,-8.3053005699765
16,0.0709802805901822,Other,dblSigfit,-8.3053005699765
2,0.00150781748228663,Other,dblSigfit,-8.3053005699765
3,0.00459927855991249,Other,dblSigfit,-8.3053005699765
4,0.0135607183225061,Other,dblSigfit,-8.3053005699765
5,0.0364547510086822,Other,dblSigfit,-8.3053005699765
6,0.0799711677846655,Other,dblSigfit,-8.3053005699765
7,0.12998160585972,Other,dblSigfit,-8.3053005699765
8,0.162195182922749,Other,dblSigfit,-8.3053005699765
9,0.0742206029877412,Other,dblSigfit,-8.3053005699765
0,1.66752798404991e-21,Seines,dblSigfit,-19.4743942462183
1,1.3512119206337e-17,Seines,dblSigfit,-19.4743942462183
10,0.00663598050501339,Seines,dblSigfit,-19.4743942462183
11,0.00662917460991714,Seines,dblSigfit,-19.4743942462183
12,0.00662917376998237,Seines,dblSigfit,-19.4743942462183
13,0.00662917376987872,Seines,dblSigfit,-19.4743942462183
14,0.0066291737698787,Seines,dblSigfit,-19.4743942462183
15,0.0066291737698787,Seines,dblSigfit,-19.4743942462183
16,0.0066291737698787,Seines,dblSigfit,-19.4743942462183
2,1.0948983596831e-13,Seines,dblSigfit,-19.4743942462183
3,8.87205327299451e-10,Seines,dblSigfit,-19.4743942462183
4,7.18891747108038e-06,Seines,dblSigfit,-19.4743942462183
5,0.04834767213107,Seines,dblSigfit,-19.4743942462183
6,0.284139547933807,Seines,dblSigfit,-19.4743942462183
7,0.284310644290818,Seines,dblSigfit,-19.4743942462183
8,0.284138271626869,Seines,dblSigfit,-19.4743942462183
9,0.0526456502482229,Seines,dblSigfit,-19.4743942462183
0,0,Recreational,assessmt_selex_2019,NA
1,0.000702945999761978,Recreational,assessmt_selex_2019,NA
2,0.00388933589426162,Recreational,assessmt_selex_2019,NA
3,0.012028932740557,Recreational,assessmt_selex_2019,NA
4,0.0266058566403526,Recreational,assessmt_selex_2019,NA
5,0.0453326058102535,Recreational,assessmt_selex_2019,NA
6,0.0631832452043519,Recreational,assessmt_selex_2019,NA
7,0.07584597604449,Recreational,assessmt_selex_2019,NA
8,0.0825047043661779,Recreational,assessmt_selex_2019,NA
9,0.0851887255991839,Recreational,assessmt_selex_2019,NA
10,0.0860834281695574,Recreational,assessmt_selex_2019,NA
11,0.0863526345393208,Recreational,assessmt_selex_2019,NA
12,0.086431502579547,Recreational,assessmt_selex_2019,NA
13,0.0864552840609749,Recreational,assessmt_selex_2019,NA
14,0.0864628076569175,Recreational,assessmt_selex_2019,NA
15,0.0864654884784603,Recreational,assessmt_selex_2019,NA
16,0.0864665262158317,Recreational,assessmt_selex_2019,NA
0,NA,PelTrawl,assessmt_selex_2019,NA
1,NA,PelTrawl,assessmt_selex_2019,NA
2,NA,PelTrawl,assessmt_selex_2019,NA
3,NA,PelTrawl,assessmt_selex_2019,NA
4,NA,PelTrawl,assessmt_selex_2019,NA
5,NA,PelTrawl,assessmt_selex_2019,NA
6,NA,PelTrawl,assessmt_selex_2019,NA
7,NA,PelTrawl,assessmt_selex_2019,NA
8,NA,PelTrawl,assessmt_selex_2019,NA
9,NA,PelTrawl,assessmt_selex_2019,NA
10,NA,PelTrawl,assessmt_selex_2019,NA
11,NA,PelTrawl,assessmt_selex_2019,NA
12,NA,PelTrawl,assessmt_selex_2019,NA
13,NA,PelTrawl,assessmt_selex_2019,NA
14,NA,PelTrawl,assessmt_selex_2019,NA
15,NA,PelTrawl,assessmt_selex_2019,NA
16,NA,PelTrawl,assessmt_selex_2019,NA
