Age,weights_age,weights_age_rec,stkwt,N,Discard_Sel,mat,Myr,M,F_age_rec_2019,MSY_Z,MSYlow_Z,MSY,MSYlow
0,0,0,0.00282457,12382.79743,0,0,0.24,0.02,0,0.24,0.24,0,0
1,0.118745,0.0800523,0.0237327,9740.653456,0.000987604,0,0.24,0.02,0.000205609,0.24032,0.240269065,2.07949,1.727857
2,0.238077,0.192721,0.0961958,7660.35052,0.020703437,0,0.24,0.02,0.00118539,0.24289,0.242400796,14.573933,12.112063
3,0.384463,0.344315,0.209295,6014.638819,0.040150728,0,0.24,0.02,0.001176412,0.2547,0.252214381,57.864174,48.135598
4,0.553405,0.534344,0.368655,5105.381433,0.260435067,0.089,0.24,0.02,0.006351395,0.2843,0.276804991,65.006411,54.205889
5,0.741629,0.754733,0.569804,1067.738745,0.395411657,0.291,0.24,0.02,0.013477775,0.32815,0.313244154,387.003831,323.831669
6,0.961054,0.997111,0.806228,4084.658384,0.163220153,0.575,0.24,0.02,0.012815346,0.36853,0.346792828,104.264191,87.521346
7,1.21964,1.25593,1.07064,2613.813864,0.093592213,0.798,0.24,0.02,0.023498693,0.38991,0.364557957,454.254049,381.942741
8,1.5064,1.53117,1.35577,623.1654483,0.016055576,0.916,0.24,0.02,0.014668892,0.39671,0.370209874,233.220929,196.198273
9,1.80747,1.82285,1.65483,934.9767713,0.006602873,0.966,0.24,0.02,0.022002183,0.39748,0.37084327,44.184905,37.172959
10,2.11416,2.12594,1.96175,153.4914063,0.001786886,0.986,0.24,0.02,0.020376389,0.39621,0.369795685,64.597603,54.340966
11,2.42095,2.43319,2.27132,367.4315667,0.000660004,0.994,0.24,0.02,0.023425403,0.39429,0.368199936,9.542105,8.025845
12,2.72374,2.73858,2.57917,278.4135294,0.000236968,0.997,0.24,0.02,0.023519036,0.39218,0.366444415,30.180641,25.380732
13,3.01935,3.03792,2.88175,300.6992833,8.55522e-05,0.999,0.24,0.02,0.021145238,0.39007,0.364686706,21.349083,17.950803
14,3.30536,3.32835,3.17626,172.9102653,3.87477e-05,0.999,0.24,0.02,0.021742123,0.38804,0.362999783,24.519784,20.613564
15,3.57994,3.60786,3.46058,96.80819266,2.02588e-05,1,0.24,0.02,0.022936007,0.38613,0.3614204,12.91127,10.852793
16,3.84182,3.8751,3.73313,266.3366213,1.22763e-05,1,0.24,0.02,0.024790632,0.38438,0.359964166,25.679536,21.582451
