"Basis","Total Catch","Commercial Landings","Commercial discards","Recreational removals","Total F","F Commercial landings","F Commercial discards","F Recreational removals","SSB (2021)","% SSB change","% Advice change"
"Simulated Scenario","1325","1073","60","191","0.075","0.073","0.0022","0.0133","10125","-11.3","-26.6"
"EU_MAP_FMSY","2000","1353","121","526","0.136","0.095","0.0047","0.037","11209","-2.1","2.8"
"EU_MAP_FMSY_lower","1680","1137","101","442","0.113","0.079","0.0039","0.03","11472","0.18","2.8"
